,Unnamed: 0,Player,Base Price,TYPE,COST IN ₹ (CR.),Cost IN $ (000),2021 Squad,Team,Status,retention,Base_Price_unit,BasePrice
0,0,Rashid Khan,0,BOWLER,15.0,1950.0,SRH,Gujarat Titans,Sold,Draft Pick,0,0
1,1,Hardik Pandya,0,ALL-ROUNDER,15.0,1950.0,MI,Gujarat Titans,Sold,Draft Pick,0,0
2,2,Lockie Ferguson,2 Cr,BOWLER,10.0,1300.0,KKR,Gujarat Titans,Sold,From Auction,Cr,2
3,3,Rahul Tewatia,40 Lakh,ALL-ROUNDER,9.0,1170.0,RR,Gujarat Titans,Sold,From Auction,Lakh,40
4,4,Shubman Gill,0,BATTER,8.0,1040.0,KKR,Gujarat Titans,Sold,Draft Pick,0,0
5,5,Mohammad Shami,2 Cr,BOWLER,6.25,812.5,PBKS,Gujarat Titans,Sold,From Auction,Cr,2
6,6,Yash Dayal,20 Lakh,BOWLER,3.2,416.0,Not Participated,Gujarat Titans,Sold,From Auction,Lakh,20
7,7,David Miller,1 Cr,BATTER,3.0,390.0,RR,Gujarat Titans,Sold,From Auction,Cr,1
8,8,R. Sai Kishore,20 Lakh,BOWLER,3.0,390.0,CSK,Gujarat Titans,Sold,From Auction,Lakh,20
9,9,Abhinav Sadarangani,20 Lakh,BATTER,2.6,338.0,Not Participated,Gujarat Titans,Sold,From Auction,Lakh,20
10,10,Matthew Wade,2 Cr,WICKETKEEPER,2.4,312.0,Not Participated,Gujarat Titans,Sold,From Auction,Cr,2
11,11,Alzarri Joseph,75 Lakh,BOWLER,2.4,312.0,Not Participated,Gujarat Titans,Sold,From Auction,Lakh,75
12,12,Jason Roy,2 Cr,BATTER,2.0,260.0,SRH,Gujarat Titans,Sold,From Auction,Cr,2
13,13,Wriddhiman Saha,1 Cr,WICKETKEEPER,1.9,247.0,SRH,Gujarat Titans,Sold,From Auction,Cr,1
14,14,Jayant Yadav,1 Cr,ALL-ROUNDER,1.7,221.0,MI,Gujarat Titans,Sold,From Auction,Cr,1
15,15,Vijay Shankar,50 Lakh,ALL-ROUNDER,1.4,182.0,SRH,Gujarat Titans,Sold,From Auction,Lakh,50
16,16,Dominic Drakes,75 Lakh,ALL-ROUNDER,1.1,143.0,CSK,Gujarat Titans,Sold,From Auction,Lakh,75
17,17,Varun Aaron,50 Lakh,BOWLER,0.5,65.0,Not Participated,Gujarat Titans,Sold,From Auction,Lakh,50
18,18,Gurkeerat Singh,50 Lakh,ALL-ROUNDER,0.5,65.0,KKR,Gujarat Titans,Sold,From Auction,Lakh,50
19,19,Noor Ahmad,30 Lakh,BOWLER,0.3,39.0,Not Participated,Gujarat Titans,Sold,From Auction,Lakh,30
20,20,Darshan Nalkande,20 Lakh,ALL-ROUNDER,0.2,26.0,PBKS,Gujarat Titans,Sold,From Auction,Lakh,20
21,21,Pradeep Sangwan,20 Lakh,ALL-ROUNDER,0.2,26.0,Not Participated,Gujarat Titans,Sold,From Auction,Lakh,20
22,22,Ravindra Jadeja,Retained,ALL-ROUNDER,16.0,2080.0,CSK,Chennai Super Kings,Sold,Retained,Retained,Retained
23,23,Deepak Chahar,2 Cr,BOWLER,14.0,1820.0,CSK,Chennai Super Kings,Sold,From Auction,Cr,2
24,24,MS Dhoni,Retained,WICKETKEEPER,12.0,1560.0,CSK,Chennai Super Kings,Sold,Retained,Retained,Retained
