Player,Base Price,TYPE,COST IN ₹ (CR.),Cost IN $ (000),2021 Squad,Team,Status
Suresh Raina,2 Cr,BATTER,0.0,0.0,CSK,Unsold,Unsold
Steve Smith,2 Cr,BATTER,0.0,0.0,DC,Unsold,Unsold
Shakib Al Hasan,2 Cr,ALL-ROUNDER,0.0,0.0,KKR,Unsold,Unsold
Amit Mishra,1.5 Cr,BOWLER,0.0,0.0,DC,Unsold,Unsold
Adil Rashid,2 Cr,BOWLER,0.0,0.0,PBKS,Unsold,Unsold
Imran Tahir,2 Cr,BOWLER,0.0,0.0,CSK,Unsold,Unsold
Mujeeb Zadran,2 Cr,BOWLER,0.0,0.0,SRH,Unsold,Unsold
Adam Zampa,2 Cr,BOWLER,0.0,0.0,RCB,Unsold,Unsold
Rajat Patidar,20 Lakh,BATTER,0.0,0.0,RCB,Unsold,Unsold
Mohammed Azharuddeen,20 Lakh,WICKETKEEPER,0.0,0.0,RCB,Unsold,Unsold
Vishnu Solanki,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
Sandeep Lamichhane,40 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
M. Siddharth,20 Lakh,BOWLER,0.0,0.0,DC,Unsold,Unsold
Aaron Finch,1.5 Cr,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Marnus Labuschagne,1 Cr,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Dawid Malan,1.5 Cr,BATTER,0.0,0.0,PBKS,Unsold,Unsold
Eoin Morgan,1.5 Cr,BATTER,0.0,0.0,KKR,Unsold,Unsold
Cheteshwar Pujara,50 Lakh,BATTER,0.0,0.0,CSK,Unsold,Unsold
Saurabh Tiwary,50 Lakh,BATTER,0.0,0.0,MI,Unsold,Unsold
Sheldon Cottrell,75 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Ishant Sharma,1.5 Cr,BOWLER,0.0,0.0,DC,Unsold,Unsold
Qais Ahmad,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Piyush Chawla,1 Cr,BOWLER,0.0,0.0,MI,Unsold,Unsold
Tabraiz Shamsi,1 Cr,BOWLER,0.0,0.0,RR,Unsold,Unsold
Ish Sodhi,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Sachin Baby,20 Lakh,BATTER,0.0,0.0,RCB,Unsold,Unsold
Ricky Bhui,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Himanshu Rana,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Harnoor Singh,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Himmat Singh,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Virat Singh,20 Lakh,BATTER,0.0,0.0,SRH,Unsold,Unsold
Arzan Nagwaswalla,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Akash Singh,20 Lakh,BOWLER,0.0,0.0,RR,Unsold,Unsold
Yash Thakur,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Vasu Vats,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Mujtaba Yousuf,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Chris Lynn,1.5 Cr,BATTER,0.0,0.0,MI,Unsold,Unsold
Najibullah Zadran,50 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Charith Asalanka,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
George Garton,50 Lakh,ALL-ROUNDER,0.0,0.0,RCB,Unsold,Unsold
Litton Das,50 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
